age,gender,province,education,language,religion,n
30-44,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,37
30-44,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,27
30-44,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
30-44,Female,British Columbia,Degree above the bachelor's level,Both English and French,No,4
30-44,Female,British Columbia,Degree above the bachelor's level,Both English and French,Yes,4
30-44,Female,British Columbia,Degree above the bachelor's level,English only,No,21
30-44,Female,British Columbia,Degree above the bachelor's level,English only,Yes,20
30-44,Female,British Columbia,Degree above the bachelor's level,Neither English nor French,No,1
30-44,Female,British Columbia,Don't know/ Prefer not to answer,English only,No,4
30-44,Female,British Columbia,Don't know/ Prefer not to answer,English only,Yes,1
30-44,Female,British Columbia,High school diploma or its equivalent,Both English and French,No,3
30-44,Female,British Columbia,High school diploma or its equivalent,Both English and French,Yes,2
30-44,Female,British Columbia,High school diploma or its equivalent,English only,No,16
30-44,Female,British Columbia,High school diploma or its equivalent,English only,Yes,21
30-44,Female,British Columbia,Less than high school,English only,No,6
30-44,Female,British Columbia,Less than high school,English only,Yes,5
30-44,Female,British Columbia,University below the bachelor's level,Both English and French,No,1
30-44,Female,British Columbia,University below the bachelor's level,Both English and French,Yes,1
30-44,Female,British Columbia,University below the bachelor's level,English only,No,6
30-44,Female,British Columbia,University below the bachelor's level,English only,Yes,10
30-44,Female,British Columbia,University below the bachelor's level,Neither English nor French,No,1
30-44,Female,Manitoba,Bachelor's degree,Both English and French,No,4
30-44,Female,Manitoba,Bachelor's degree,Both English and French,Yes,2
30-44,Female,Manitoba,Bachelor's degree,English only,No,6
30-44,Female,Manitoba,Bachelor's degree,English only,Yes,28
30-44,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,2
30-44,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
30-44,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,No,10
30-44,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,Yes,29
30-44,Female,Manitoba,Degree above the bachelor's level,Both English and French,Yes,4
30-44,Female,Manitoba,Degree above the bachelor's level,English only,No,5
30-44,Female,Manitoba,Degree above the bachelor's level,English only,Yes,6
30-44,Female,Manitoba,Don't know/ Prefer not to answer,English only,No,1
30-44,Female,Manitoba,Don't know/ Prefer not to answer,English only,Yes,3
30-44,Female,Manitoba,Don't know/ Prefer not to answer,Neither English nor French,No,1
30-44,Female,Manitoba,High school diploma or its equivalent,Both English and French,No,1
30-44,Female,Manitoba,High school diploma or its equivalent,Both English and French,Yes,1
30-44,Female,Manitoba,High school diploma or its equivalent,English only,No,12
30-44,Female,Manitoba,High school diploma or its equivalent,English only,Yes,16
30-44,Female,Manitoba,Less than high school,English only,No,1
30-44,Female,Manitoba,Less than high school,English only,Yes,9
30-44,Female,Manitoba,University below the bachelor's level,Both English and French,Yes,1
30-44,Female,Manitoba,University below the bachelor's level,English only,No,2
30-44,Female,Manitoba,University below the bachelor's level,English only,Yes,6
30-44,Female,New Brunswick,Bachelor's degree,Both English and French,No,3
30-44,Female,New Brunswick,Bachelor's degree,Both English and French,Yes,14
30-44,Female,New Brunswick,Bachelor's degree,English only,No,5
30-44,Female,New Brunswick,Bachelor's degree,English only,Yes,9
30-44,Female,New Brunswick,Bachelor's degree,French only,Yes,1
30-44,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,3
30-44,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,22
30-44,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,No,11
30-44,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,Yes,22
30-44,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
30-44,Female,New Brunswick,Degree above the bachelor's level,Both English and French,No,1
30-44,Female,New Brunswick,Degree above the bachelor's level,Both English and French,Yes,4
30-44,Female,New Brunswick,Degree above the bachelor's level,English only,No,5
30-44,Female,New Brunswick,Degree above the bachelor's level,English only,Yes,3
30-44,Female,New Brunswick,Don't know/ Prefer not to answer,Both English and French,Yes,1
30-44,Female,New Brunswick,Don't know/ Prefer not to answer,English only,No,1
30-44,Female,New Brunswick,Don't know/ Prefer not to answer,English only,Yes,1
30-44,Female,New Brunswick,Don't know/ Prefer not to answer,Neither English nor French,No,1
30-44,Female,New Brunswick,High school diploma or its equivalent,Both English and French,No,2
30-44,Female,New Brunswick,High school diploma or its equivalent,Both English and French,Yes,6
30-44,Female,New Brunswick,High school diploma or its equivalent,English only,No,7
30-44,Female,New Brunswick,High school diploma or its equivalent,English only,Yes,11
30-44,Female,New Brunswick,High school diploma or its equivalent,French only,No,1
30-44,Female,New Brunswick,High school diploma or its equivalent,French only,Yes,2
30-44,Female,New Brunswick,Less than high school,English only,Yes,2
30-44,Female,New Brunswick,University below the bachelor's level,Both English and French,Yes,1
30-44,Female,New Brunswick,University below the bachelor's level,English only,Yes,2
30-44,Female,Newfoundland and Labrador,Bachelor's degree,Both English and French,No,1
30-44,Female,Newfoundland and Labrador,Bachelor's degree,Both English and French,Yes,5
30-44,Female,Newfoundland and Labrador,Bachelor's degree,English only,No,6
30-44,Female,Newfoundland and Labrador,Bachelor's degree,English only,Yes,27
30-44,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,2
30-44,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,No,2
30-44,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,42
30-44,Female,Newfoundland and Labrador,Degree above the bachelor's level,Both English and French,No,2
30-44,Female,Newfoundland and Labrador,Degree above the bachelor's level,Both English and French,Yes,4
30-44,Female,Newfoundland and Labrador,Degree above the bachelor's level,English only,No,1
30-44,Female,Newfoundland and Labrador,Degree above the bachelor's level,English only,Yes,10
30-44,Female,Newfoundland and Labrador,High school diploma or its equivalent,Both English and French,Yes,1
30-44,Female,Newfoundland and Labrador,High school diploma or its equivalent,English only,No,2
30-44,Female,Newfoundland and Labrador,High school diploma or its equivalent,English only,Yes,8
30-44,Female,Newfoundland and Labrador,Less than high school,English only,No,1
30-44,Female,Newfoundland and Labrador,Less than high school,English only,Yes,2
30-44,Female,Newfoundland and Labrador,University below the bachelor's level,English only,Yes,2
30-44,Female,Nova Scotia,Bachelor's degree,Both English and French,Yes,8
30-44,Female,Nova Scotia,Bachelor's degree,English only,No,5
30-44,Female,Nova Scotia,Bachelor's degree,English only,Yes,29
30-44,Female,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,4
30-44,Female,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,No,16
30-44,Female,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,32
30-44,Female,Nova Scotia,Degree above the bachelor's level,Both English and French,Yes,4
30-44,Female,Nova Scotia,Degree above the bachelor's level,English only,No,5
30-44,Female,Nova Scotia,Degree above the bachelor's level,English only,Yes,13
30-44,Female,Nova Scotia,Don't know/ Prefer not to answer,English only,No,2
30-44,Female,Nova Scotia,Don't know/ Prefer not to answer,English only,Yes,1
30-44,Female,Nova Scotia,High school diploma or its equivalent,Both English and French,No,1
30-44,Female,Nova Scotia,High school diploma or its equivalent,Both English and French,Yes,2
30-44,Female,Nova Scotia,High school diploma or its equivalent,English only,No,9
30-44,Female,Nova Scotia,High school diploma or its equivalent,English only,Yes,15
30-44,Female,Nova Scotia,Less than high school,English only,Yes,1
30-44,Female,Nova Scotia,University below the bachelor's level,English only,Yes,1
30-44,Female,Ontario,Bachelor's degree,Both English and French,No,13
30-44,Female,Ontario,Bachelor's degree,Both English and French,Yes,29
30-44,Female,Ontario,Bachelor's degree,English only,No,47
30-44,Female,Ontario,Bachelor's degree,English only,Yes,123
30-44,Female,Ontario,Bachelor's degree,French only,Yes,3
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,5
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,21
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,49
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,127
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,2
30-44,Female,Ontario,Degree above the bachelor's level,Both English and French,No,6
30-44,Female,Ontario,Degree above the bachelor's level,Both English and French,Yes,21
30-44,Female,Ontario,Degree above the bachelor's level,English only,No,17
30-44,Female,Ontario,Degree above the bachelor's level,English only,Yes,82
30-44,Female,Ontario,Don't know/ Prefer not to answer,English only,No,2
30-44,Female,Ontario,Don't know/ Prefer not to answer,English only,Yes,1
30-44,Female,Ontario,Don't know/ Prefer not to answer,Neither English nor French,No,2
30-44,Female,Ontario,Don't know/ Prefer not to answer,Neither English nor French,Yes,2
30-44,Female,Ontario,High school diploma or its equivalent,Both English and French,No,5
30-44,Female,Ontario,High school diploma or its equivalent,Both English and French,Yes,7
30-44,Female,Ontario,High school diploma or its equivalent,English only,No,25
30-44,Female,Ontario,High school diploma or its equivalent,English only,Yes,57
30-44,Female,Ontario,Less than high school,Both English and French,Yes,2
30-44,Female,Ontario,Less than high school,English only,No,5
30-44,Female,Ontario,Less than high school,English only,Yes,12
30-44,Female,Ontario,University below the bachelor's level,Both English and French,Yes,4
30-44,Female,Ontario,University below the bachelor's level,English only,No,4
30-44,Female,Ontario,University below the bachelor's level,English only,Yes,10
30-44,Female,Prince Edward Island,Bachelor's degree,Both English and French,No,1
30-44,Female,Prince Edward Island,Bachelor's degree,Both English and French,Yes,7
30-44,Female,Prince Edward Island,Bachelor's degree,English only,No,3
30-44,Female,Prince Edward Island,Bachelor's degree,English only,Yes,10
30-44,Female,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,4
30-44,Female,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,No,3
30-44,Female,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,Yes,25
30-44,Female,Prince Edward Island,Degree above the bachelor's level,Both English and French,No,1
30-44,Female,Prince Edward Island,Degree above the bachelor's level,Both English and French,Yes,3
30-44,Female,Prince Edward Island,Degree above the bachelor's level,English only,Yes,3
30-44,Female,Prince Edward Island,Don't know/ Prefer not to answer,English only,No,1
30-44,Female,Prince Edward Island,Don't know/ Prefer not to answer,English only,Yes,1
30-44,Female,Prince Edward Island,High school diploma or its equivalent,Both English and French,Yes,1
30-44,Female,Prince Edward Island,High school diploma or its equivalent,English only,No,2
30-44,Female,Prince Edward Island,High school diploma or its equivalent,English only,Yes,11
30-44,Female,Prince Edward Island,Less than high school,English only,Yes,2
30-44,Female,Prince Edward Island,University below the bachelor's level,English only,Yes,2
30-44,Female,Quebec,Bachelor's degree,Both English and French,No,17
30-44,Female,Quebec,Bachelor's degree,Both English and French,Yes,81
30-44,Female,Quebec,Bachelor's degree,English only,No,4
30-44,Female,Quebec,Bachelor's degree,English only,Yes,6
30-44,Female,Quebec,Bachelor's degree,French only,No,5
30-44,Female,Quebec,Bachelor's degree,French only,Yes,34
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,8
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,68
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",English only,No,1
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,6
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,90
30-44,Female,Quebec,Degree above the bachelor's level,Both English and French,No,11
30-44,Female,Quebec,Degree above the bachelor's level,Both English and French,Yes,34
30-44,Female,Quebec,Degree above the bachelor's level,English only,Yes,4
30-44,Female,Quebec,Degree above the bachelor's level,French only,No,1
30-44,Female,Quebec,Degree above the bachelor's level,French only,Yes,13
30-44,Female,Quebec,Don't know/ Prefer not to answer,Both English and French,Yes,2
30-44,Female,Quebec,Don't know/ Prefer not to answer,French only,Yes,3
30-44,Female,Quebec,High school diploma or its equivalent,Both English and French,No,6
30-44,Female,Quebec,High school diploma or its equivalent,Both English and French,Yes,14
30-44,Female,Quebec,High school diploma or its equivalent,English only,Yes,4
30-44,Female,Quebec,High school diploma or its equivalent,French only,No,3
30-44,Female,Quebec,High school diploma or its equivalent,French only,Yes,14
30-44,Female,Quebec,Less than high school,Both English and French,No,2
30-44,Female,Quebec,Less than high school,Both English and French,Yes,3
30-44,Female,Quebec,Less than high school,French only,No,1
30-44,Female,Quebec,Less than high school,French only,Yes,16
30-44,Female,Quebec,University below the bachelor's level,Both English and French,No,1
30-44,Female,Quebec,University below the bachelor's level,Both English and French,Yes,6
30-44,Female,Quebec,University below the bachelor's level,French only,No,1
30-44,Female,Quebec,University below the bachelor's level,French only,Yes,12
30-44,Female,Saskatchewan,Bachelor's degree,Both English and French,Yes,5
30-44,Female,Saskatchewan,Bachelor's degree,English only,No,8
30-44,Female,Saskatchewan,Bachelor's degree,English only,Yes,28
30-44,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,3
30-44,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
30-44,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,No,9
30-44,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,38
30-44,Female,Saskatchewan,Degree above the bachelor's level,Both English and French,Yes,1
30-44,Female,Saskatchewan,Degree above the bachelor's level,English only,No,2
30-44,Female,Saskatchewan,Degree above the bachelor's level,English only,Yes,7
30-44,Female,Saskatchewan,Don't know/ Prefer not to answer,English only,No,3
30-44,Female,Saskatchewan,Don't know/ Prefer not to answer,English only,Yes,2
30-44,Female,Saskatchewan,High school diploma or its equivalent,Both English and French,Yes,1
30-44,Female,Saskatchewan,High school diploma or its equivalent,English only,No,7
30-44,Female,Saskatchewan,High school diploma or its equivalent,English only,Yes,21
30-44,Female,Saskatchewan,Less than high school,English only,No,1
30-44,Female,Saskatchewan,Less than high school,English only,Yes,4
30-44,Female,Saskatchewan,University below the bachelor's level,English only,No,1
30-44,Female,Saskatchewan,University below the bachelor's level,English only,Yes,7
30-44,Male,Alberta,Bachelor's degree,Both English and French,No,2
30-44,Male,Alberta,Bachelor's degree,Both English and French,Yes,3
30-44,Male,Alberta,Bachelor's degree,English only,No,20
30-44,Male,Alberta,Bachelor's degree,English only,Yes,26
30-44,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,3
30-44,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,38
30-44,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,38
30-44,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
30-44,Male,Alberta,Degree above the bachelor's level,Both English and French,Yes,3
30-44,Male,Alberta,Degree above the bachelor's level,English only,No,9
30-44,Male,Alberta,Degree above the bachelor's level,English only,Yes,19
30-44,Male,Alberta,Don't know/ Prefer not to answer,English only,Yes,2
30-44,Male,Alberta,Don't know/ Prefer not to answer,Neither English nor French,No,1
30-44,Male,Alberta,High school diploma or its equivalent,Both English and French,No,1
30-44,Male,Alberta,High school diploma or its equivalent,English only,No,21
30-44,Male,Alberta,High school diploma or its equivalent,English only,Yes,22
30-44,Male,Alberta,Less than high school,English only,No,3
30-44,Male,Alberta,Less than high school,English only,Yes,6
30-44,Male,Alberta,University below the bachelor's level,English only,No,2
30-44,Male,Alberta,University below the bachelor's level,English only,Yes,6
30-44,Male,British Columbia,Bachelor's degree,Both English and French,No,6
30-44,Male,British Columbia,Bachelor's degree,Both English and French,Yes,4
30-44,Male,British Columbia,Bachelor's degree,English only,No,38
30-44,Male,British Columbia,Bachelor's degree,English only,Yes,28
30-44,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,3
30-44,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,4
30-44,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,40
30-44,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,38
30-44,Male,British Columbia,Degree above the bachelor's level,Both English and French,No,1
30-44,Male,British Columbia,Degree above the bachelor's level,English only,No,2
30-44,Male,British Columbia,Degree above the bachelor's level,English only,Yes,9
30-44,Male,British Columbia,Don't know/ Prefer not to answer,Both English and French,No,1
30-44,Male,British Columbia,Don't know/ Prefer not to answer,English only,No,4
30-44,Male,British Columbia,Don't know/ Prefer not to answer,Neither English nor French,No,2
30-44,Male,British Columbia,High school diploma or its equivalent,Both English and French,No,2
30-44,Male,British Columbia,High school diploma or its equivalent,Both English and French,Yes,1
30-44,Male,British Columbia,High school diploma or its equivalent,English only,No,25
30-44,Male,British Columbia,High school diploma or its equivalent,English only,Yes,24
30-44,Male,British Columbia,Less than high school,English only,No,8
30-44,Male,British Columbia,Less than high school,English only,Yes,3
30-44,Male,British Columbia,University below the bachelor's level,Both English and French,No,2
30-44,Male,British Columbia,University below the bachelor's level,Both English and French,Yes,1
30-44,Male,British Columbia,University below the bachelor's level,English only,No,10
30-44,Male,British Columbia,University below the bachelor's level,English only,Yes,4
30-44,Male,Manitoba,Bachelor's degree,Both English and French,No,1
30-44,Male,Manitoba,Bachelor's degree,Both English and French,Yes,3
30-44,Male,Manitoba,Bachelor's degree,English only,No,9
30-44,Male,Manitoba,Bachelor's degree,English only,Yes,15
30-44,Male,Manitoba,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,2
30-44,Male,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,No,8
30-44,Male,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,Yes,29
30-44,Male,Manitoba,Degree above the bachelor's level,Both English and French,Yes,1
30-44,Male,Manitoba,Degree above the bachelor's level,English only,No,1
30-44,Male,Manitoba,Degree above the bachelor's level,English only,Yes,7
30-44,Male,Manitoba,Don't know/ Prefer not to answer,Both English and French,Yes,1
30-44,Male,Manitoba,Don't know/ Prefer not to answer,English only,No,1
30-44,Male,Manitoba,Don't know/ Prefer not to answer,English only,Yes,3
30-44,Male,Manitoba,High school diploma or its equivalent,Both English and French,No,1
30-44,Male,Manitoba,High school diploma or its equivalent,Both English and French,Yes,3
30-44,Male,Manitoba,High school diploma or its equivalent,English only,No,10
30-44,Male,Manitoba,High school diploma or its equivalent,English only,Yes,15
30-44,Male,Manitoba,Less than high school,Both English and French,Yes,1
30-44,Male,Manitoba,Less than high school,English only,No,1
30-44,Male,Manitoba,Less than high school,English only,Yes,8
30-44,Male,Manitoba,University below the bachelor's level,Both English and French,No,1
30-44,Male,Manitoba,University below the bachelor's level,English only,No,1
30-44,Male,Manitoba,University below the bachelor's level,English only,Yes,6
30-44,Male,New Brunswick,Bachelor's degree,Both English and French,No,7
30-44,Male,New Brunswick,Bachelor's degree,Both English and French,Yes,4
30-44,Male,New Brunswick,Bachelor's degree,English only,No,6
30-44,Male,New Brunswick,Bachelor's degree,English only,Yes,5
30-44,Male,New Brunswick,Bachelor's degree,French only,Yes,1
30-44,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,6
30-44,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,20
30-44,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,No,6
30-44,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,Yes,19
30-44,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
30-44,Male,New Brunswick,Degree above the bachelor's level,Both English and French,Yes,3
30-44,Male,New Brunswick,Degree above the bachelor's level,English only,No,4
30-44,Male,New Brunswick,Degree above the bachelor's level,English only,Yes,4
30-44,Male,New Brunswick,Don't know/ Prefer not to answer,Both English and French,Yes,3
30-44,Male,New Brunswick,High school diploma or its equivalent,Both English and French,No,1
30-44,Male,New Brunswick,High school diploma or its equivalent,Both English and French,Yes,4
30-44,Male,New Brunswick,High school diploma or its equivalent,English only,No,4
30-44,Male,New Brunswick,High school diploma or its equivalent,English only,Yes,6
30-44,Male,New Brunswick,Less than high school,Both English and French,Yes,3
30-44,Male,New Brunswick,Less than high school,English only,No,2
30-44,Male,New Brunswick,Less than high school,English only,Yes,1
30-44,Male,New Brunswick,University below the bachelor's level,Both English and French,Yes,2
30-44,Male,New Brunswick,University below the bachelor's level,English only,Yes,2
30-44,Male,Newfoundland and Labrador,Bachelor's degree,Both English and French,No,2
30-44,Male,Newfoundland and Labrador,Bachelor's degree,Both English and French,Yes,2
30-44,Male,Newfoundland and Labrador,Bachelor's degree,English only,No,3
30-44,Male,Newfoundland and Labrador,Bachelor's degree,English only,Yes,18
30-44,Male,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
30-44,Male,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,No,5
30-44,Male,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,41
30-44,Male,Newfoundland and Labrador,Degree above the bachelor's level,Both English and French,Yes,3
30-44,Male,Newfoundland and Labrador,Degree above the bachelor's level,English only,No,1
30-44,Male,Newfoundland and Labrador,Degree above the bachelor's level,English only,Yes,5
30-44,Male,Newfoundland and Labrador,Don't know/ Prefer not to answer,English only,No,1
30-44,Male,Newfoundland and Labrador,Don't know/ Prefer not to answer,English only,Yes,1
30-44,Male,Newfoundland and Labrador,High school diploma or its equivalent,Both English and French,Yes,2
30-44,Male,Newfoundland and Labrador,High school diploma or its equivalent,English only,No,4
30-44,Male,Newfoundland and Labrador,High school diploma or its equivalent,English only,Yes,11
30-44,Male,Newfoundland and Labrador,Less than high school,English only,Yes,4
30-44,Male,Newfoundland and Labrador,University below the bachelor's level,English only,No,2
30-44,Male,Newfoundland and Labrador,University below the bachelor's level,English only,Yes,5
30-44,Male,Nova Scotia,Bachelor's degree,Both English and French,No,5
30-44,Male,Nova Scotia,Bachelor's degree,Both English and French,Yes,6
30-44,Male,Nova Scotia,Bachelor's degree,English only,No,14
30-44,Male,Nova Scotia,Bachelor's degree,English only,Yes,17
30-44,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,4
30-44,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,2
30-44,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,No,16
30-44,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,22
30-44,Male,Nova Scotia,Degree above the bachelor's level,Both English and French,Yes,2
30-44,Male,Nova Scotia,Degree above the bachelor's level,English only,No,3
30-44,Male,Nova Scotia,Degree above the bachelor's level,English only,Yes,4
30-44,Male,Nova Scotia,Don't know/ Prefer not to answer,English only,No,1
30-44,Male,Nova Scotia,High school diploma or its equivalent,Both English and French,No,1
30-44,Male,Nova Scotia,High school diploma or its equivalent,Both English and French,Yes,1
30-44,Male,Nova Scotia,High school diploma or its equivalent,English only,No,14
30-44,Male,Nova Scotia,High school diploma or its equivalent,English only,Yes,14
30-44,Male,Nova Scotia,High school diploma or its equivalent,Neither English nor French,No,1
30-44,Male,Nova Scotia,Less than high school,Both English and French,No,1
30-44,Male,Nova Scotia,Less than high school,Both English and French,Yes,1
30-44,Male,Nova Scotia,Less than high school,English only,No,3
30-44,Male,Nova Scotia,Less than high school,English only,Yes,1
30-44,Male,Nova Scotia,University below the bachelor's level,English only,Yes,1
30-44,Male,Ontario,Bachelor's degree,Both English and French,No,11
30-44,Male,Ontario,Bachelor's degree,Both English and French,Yes,11
30-44,Male,Ontario,Bachelor's degree,English only,No,49
30-44,Male,Ontario,Bachelor's degree,English only,Yes,88
30-44,Male,Ontario,Bachelor's degree,Neither English nor French,No,1
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,5
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,9
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,55
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,109
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
30-44,Male,Ontario,Degree above the bachelor's level,Both English and French,No,10
30-44,Male,Ontario,Degree above the bachelor's level,Both English and French,Yes,13
30-44,Male,Ontario,Degree above the bachelor's level,English only,No,17
30-44,Male,Ontario,Degree above the bachelor's level,English only,Yes,53
30-44,Male,Ontario,Don't know/ Prefer not to answer,Both English and French,No,1
30-44,Male,Ontario,Don't know/ Prefer not to answer,Both English and French,Yes,1
30-44,Male,Ontario,Don't know/ Prefer not to answer,English only,No,2
30-44,Male,Ontario,Don't know/ Prefer not to answer,English only,Yes,5
30-44,Male,Ontario,Don't know/ Prefer not to answer,Neither English nor French,No,1
30-44,Male,Ontario,High school diploma or its equivalent,Both English and French,No,1
30-44,Male,Ontario,High school diploma or its equivalent,Both English and French,Yes,12
30-44,Male,Ontario,High school diploma or its equivalent,English only,No,32
30-44,Male,Ontario,High school diploma or its equivalent,English only,Yes,68
30-44,Male,Ontario,Less than high school,Both English and French,Yes,1
30-44,Male,Ontario,Less than high school,English only,No,6
30-44,Male,Ontario,Less than high school,English only,Yes,14
30-44,Male,Ontario,Less than high school,Neither English nor French,Yes,1
30-44,Male,Ontario,University below the bachelor's level,English only,No,4
30-44,Male,Ontario,University below the bachelor's level,English only,Yes,10
30-44,Male,Ontario,University below the bachelor's level,Neither English nor French,No,1
30-44,Male,Prince Edward Island,Bachelor's degree,Both English and French,No,1
30-44,Male,Prince Edward Island,Bachelor's degree,Both English and French,Yes,2
30-44,Male,Prince Edward Island,Bachelor's degree,English only,No,3
30-44,Male,Prince Edward Island,Bachelor's degree,English only,Yes,8
30-44,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
30-44,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
30-44,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,No,6
30-44,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,Yes,15
30-44,Male,Prince Edward Island,Degree above the bachelor's level,Both English and French,No,1
30-44,Male,Prince Edward Island,Degree above the bachelor's level,Both English and French,Yes,3
30-44,Male,Prince Edward Island,Degree above the bachelor's level,English only,No,1
30-44,Male,Prince Edward Island,Degree above the bachelor's level,English only,Yes,1
30-44,Male,Prince Edward Island,High school diploma or its equivalent,Both English and French,Yes,1
30-44,Male,Prince Edward Island,High school diploma or its equivalent,English only,No,1
30-44,Male,Prince Edward Island,High school diploma or its equivalent,English only,Yes,7
30-44,Male,Prince Edward Island,Less than high school,English only,Yes,1
30-44,Male,Prince Edward Island,University below the bachelor's level,English only,No,1
30-44,Male,Prince Edward Island,University below the bachelor's level,English only,Yes,1
30-44,Male,Quebec,Bachelor's degree,Both English and French,No,16
30-44,Male,Quebec,Bachelor's degree,Both English and French,Yes,59
30-44,Male,Quebec,Bachelor's degree,English only,No,1
30-44,Male,Quebec,Bachelor's degree,English only,Yes,2
30-44,Male,Quebec,Bachelor's degree,French only,No,3
30-44,Male,Quebec,Bachelor's degree,French only,Yes,17
30-44,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,32
30-44,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,86
30-44,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",English only,Yes,8
